Rk,Age,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
222,28,71,20.8,0.65,0.517,0.138,4.6,15.6,10.1,26,0.7,0,16.3,23.3,0.2,0.1,0.3,0.186,4.5,-1.2,3.2,0.2
330,31,76,20.7,0.557,0.028,0.278,7.5,25.4,16.9,6.5,1.3,2.9,9,25.5,0.1,0.2,0.3,0.185,-3.3,-0.1,-3.4,-0.1
75,24,948,20.6,0.548,0.005,0.192,10.3,27.6,19,12.3,1,2.1,12.4,25,1.2,1.3,2.5,0.128,-0.3,1.1,0.8,1.7
110,25,594,20.6,0.576,0.372,0.451,2.6,8.1,5.4,25.8,1.6,0.1,11.6,26.7,1.9,0.4,2.2,0.179,3.9,-2.6,1.2,1.2
124,33,822,20.5,0.529,0.003,0.329,13.8,27.7,20.8,6.6,1.7,0.2,10,24.7,1.4,1.3,2.7,0.159,-0.1,-0.1,-0.2,1
134,26,291,20.5,0.583,0,0.174,13,24.5,18.7,11.6,2,5.3,12.3,16.8,0.7,0.3,1,0.164,0.5,2,2.5,0.8
53,34,949,20.3,0.531,0.013,0.312,8.3,26.6,18,12.6,0.7,4.1,11.9,24.3,1.3,1.6,3,0.15,-1,2.2,1.2,2.1
129,30,1004,20.3,0.516,0.002,0.188,5.1,25,14.6,11.4,0.8,2.8,5.6,26.9,1.1,1.2,2.3,0.111,-0.8,0.2,-0.7,0.9
20,27,997,20.2,0.568,0.277,0.311,1.3,9,5.2,30,1.9,0.2,12.1,24.8,2.5,1,3.4,0.165,4.2,-1,3.1,3.5
285,22,630,20.2,0.55,0.083,0.369,9,11.7,10.3,8.3,1.1,0.7,6.2,25.4,1.5,0,1.4,0.11,1.6,-3.7,-2.1,0
171,22,803,20.1,0.611,0,0.568,11,27.5,19.2,2.5,0.5,3.2,10.3,18.9,2.4,1,3.4,0.203,-0.2,-0.7,-0.9,0.6
